"Latitude","Longitude"
40.80389387,-73.9582046
40.800645,-73.96928
40.811104,-73.952346
40.80180065,-73.96107743
40.806981,-73.95155
40.8084177460021,-73.9524740603515
40.811548,-73.954423
40.799655,-73.959802
40.813123,-73.954166
40.803868,-73.966921
40.81445,-73.959195
40.800879,-73.960761
40.805411,-73.954645
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.80949055,-73.95166267
40.8084177460021,-73.9524740603515
40.813196,-73.958257
40.8084177460021,-73.9524740603515
40.802516,-73.954899
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.801545,-73.957466
40.805157,-73.95827
40.799665,-73.958848
40.806981,-73.95155
40.806626,-73.956568
40.8084177460021,-73.9524740603515
40.811229,-73.959692
40.802972,-73.96572
40.805378,-73.953588
40.805141,-73.966969
40.8084177460021,-73.9524740603515
40.803881,-73.954092
40.798944,-73.962172
40.8084177460021,-73.9524740603515
40.804042,-73.95755
40.803768,-73.952699
40.806247,-73.951756
40.80343,-73.956092
40.804778,-73.952166
40.812941,-73.95588
40.79997729,-73.95861882
40.804438,-73.961397
40.81053194,-73.96205491
40.802516,-73.954899
40.802334,-73.966167
40.81068566,-73.95451203
40.799655,-73.959802
40.81445,-73.959195
40.811747,-73.952823
40.8084177460021,-73.9524740603515
40.80158937,-73.97054449
40.80579,-73.966569
40.809176,-73.951895
40.813984,-73.960188
40.800631,-73.956275
40.801538,-73.958421
40.811938,-73.957318
40.802386,-73.96247
40.812187,-73.955237
40.805141,-73.96599
40.80311641,-73.95631961
40.802602,-73.967928
40.80399068,-73.96031761
40.799622,-73.96168
40.804044,-73.952379
40.8084177460021,-73.9524740603515
40.802896,-73.960698
40.803569,-73.965282
40.81386,-73.956684
40.801888,-73.955356
40.8084177460021,-73.9524740603515
40.801296,-73.968815
40.811104,-73.952346
40.811747,-73.952823
40.813001,-73.956543
40.805944,-73.957952
40.80115515,-73.95964748
40.804855,-73.964343
40.81377814,-73.95968679
40.802164,-73.957963
40.804438,-73.961397
40.81445,-73.959195
40.802516,-73.954899
40.80374478,-73.95586407
40.806022,-73.956098
40.800251,-73.961222
40.804044,-73.952379
40.804229,-73.964802
40.800513,-73.963796
40.812941,-73.95588
40.806981,-73.95155
40.81006553,-73.95496762
40.810376,-73.954739
40.81445,-73.959195
40.811599,-73.962582
40.811804,-73.954903
40.807907,-73.95472
40.81076448,-73.95259015
40.8084177460021,-73.9524740603515
40.79978271,-73.96819758
40.805483,-73.963892
40.800857,-73.961687
40.81043,-73.952835
40.81043,-73.952835
40.800281,-73.959342
40.80682074,-73.96105282
40.79856262,-73.96335475
40.805141,-73.966969
40.805141,-73.966969
40.80389387,-73.9582046
40.800879,-73.960761
40.805141,-73.966969
40.810606,-73.960146
40.81445,-73.959195
40.805402,-73.9556
40.80933976,-73.95921626
40.80425779,-73.96292178
40.81043,-73.952835
40.8084177460021,-73.9524740603515
40.811104,-73.952346
40.805823,-73.961778
